X,Y,FID,OBJECTID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE
11199185.8655401,1526991.01236855,1212,2203,Samut Prakan,THA-SPR,Samut Prakan,TH,Thailand,Provincial capital,1082993,2,"1,000,000 to 4,999,999",0,1,UN_Data_2010_2020
11162451.1078156,1521036.12522037,1213,2204,Samut Sakhon,THA-SSH,Samut Sakhon,TH,Thailand,Provincial capital,479186,4,"250,000 to 499,999",0,1,UN_Data_2010_2020
11241821.6741959,1501806.55094801,1214,2205,Chon Buri,THA-CBU,Chon Buri,TH,Thailand,Provincial capital,1158989,2,"1,000,000 to 4,999,999",0,1,UN_Data_2010_2020
11109685.340417,1323296.22865753,1215,2206,Prachuap Khiri Khan,THA-PKK,Prachuap Khiri Khan,TH,Thailand,Provincial capital,177011,5,"100,000 to 249,999",0,1,UN_Data_2010_2020
11078148.2985905,1578037.70441266,1216,2207,Kanchanaburi,THA-KNC,Kanchanaburi,TH,Thailand,Provincial capital,292521,4,"250,000 to 499,999",0,1,UN_Data_2010_2020
11139073.3418651,1553344.04968694,1217,2208,Nakhon Pathom,THA-NPT,Nakhon Pathom,TH,Thailand,Provincial capital,339736,4,"250,000 to 499,999",0,1,UN_Data_2010_2020
11120817.1739404,1516914.44108675,1218,2209,Ratchaburi,THA-RTC,Ratchaburi,TH,Thailand,Provincial capital,317886,4,"250,000 to 499,999",0,1,UN_Data_2010_2020
11132060.2184014,1506955.91402109,1219,2210,Samut Songkhram,THA-SSN,Samut Songkhram,TH,Thailand,Provincial capital,42550,7,"Less than 50,000",0,1,UN_Data_2010_2020
11126383.5972949,1471159.79654003,1220,2211,Phet Buri,THA-PHB,Phetchaburi,TH,Thailand,Provincial capital,175675,5,"100,000 to 249,999",0,0,UN_Data_2010_2020
12061466.9714118,2481536.4336032,1221,2212,Fangcheng Gang,CHN-GNG,Guangxi,CH,China,Other,0,0, ,57745,0, 
11920202.5536706,2385679.69065189,1222,2213,Hon Gai,VNM-QNI,Quang Ninh,VM,Vietnam,Provincial capital,0,0, ,57700,0, 
11660383.1869063,1869782.01075239,1223,2214,Savannakhet,LAO-SVN,Savannakhet,LA,Laos,Provincial capital,0,0, ,0,1, 
11594035.9979089,1780184.71153528,1224,2215,Yasothon,THA-YST,Yasothon,TH,Thailand,Provincial capital,127173,5,"100,000 to 249,999",0,1,UN_Data_2010_2020
11847399.2722398,1771856.95165089,1225,2216,Saravan,LAO-SRV,Saravan,LA,Laos,Provincial capital,0,0, ,0,1, 
11672628.1061478,1716759.2947935,1226,2217,Ubon Ratchathani,THA-URT,Ubon Ratchathani,TH,Thailand,Provincial capital,411954,4,"250,000 to 499,999",0,1,UN_Data_2010_2020
11614296.9101587,1702341.39810445,1227,2218,Sisaket,THA-SSK,Sisaket,TH,Thailand,Provincial capital,160508,5,"100,000 to 249,999",0,1,UN_Data_2010_2020
11785027.5104344,1675754.54714795,1228,2219,Champasak,LAO-CHM,Champasak,LA,Laos,Provincial capital,0,0, ,0,1, 
11893263.1086907,1667082.37298767,1229,2220,Attapu,LAO-ATT,Attapeu,LA,Laos,Provincial capital,0,0, ,0,0, 
11285347.1519305,1579838.78380318,1230,2221,Prachin Buri,THA-PBU,Prachin Buri,TH,Thailand,Provincial capital,77645,6,"50,000 to 99,999",0,1,UN_Data_2010_2020
11562087.1790263,1501920.85928069,1231,2222,Siemreab,KHM-SOM,Siemreab-Otdar Meanchey,CB,Cambodia,Provincial capital,0,0, ,0,0, 
11488616.6503917,1469901.7941862,1232,2223,Batdambang,KHM-BTD,Batdambang,CB,Cambodia,Provincial capital,0,0, ,0,1, 
11274994.7713125,1422854.54115315,1233,2224,Rayong,THA-RYN,Rayong,TH,Thailand,Provincial capital,445939,4,"250,000 to 499,999",0,1,UN_Data_2010_2020
11367612.1501363,1414754.37459048,1234,2225,Chanthaburi,THA-CHN,Chanthaburi,TH,Thailand,Provincial capital,243126,5,"100,000 to 249,999",0,1,UN_Data_2010_2020
11569212.5266132,1406542.54508119,1235,2226,Pouthisat,KHM-PTH,Pouthisat,CB,Cambodia,Provincial capital,0,0, ,0,1, 
11411249.8335726,1372692.81941474,1236,2227,Trat,THA-TRA,Trat,TH,Thailand,Provincial capital,110398,5,"100,000 to 249,999",0,1,UN_Data_2010_2020
11470654.0299724,1301802.60811323,1237,2228,Krong Kaoh Kong,KHM-KKO,Kaoh Kong,CB,Cambodia,Provincial capital,0,0, ,0,0, 
11447762.1878435,1854921.60394113,1238,2229,Khon Kaen,THA-KKA,Khon Kaen,TH,Thailand,Provincial capital,703123,3,"500,000 to 999,999",0,1,UN_Data_2010_2020
11522569.2188354,1854340.83807023,1239,2230,Kalasin,THA-KLS,Kalasin,TH,Thailand,Provincial capital,428940,4,"250,000 to 499,999",0,1,UN_Data_2010_2020
11499081.2367114,1826040.61480656,1240,2231,Maha Sarakham,THA-MSR,Maha Sarakham,TH,Thailand,Provincial capital,153740,5,"100,000 to 249,999",0,1,UN_Data_2010_2020
11538821.637199,1810629.13559279,1241,2232,Roi Et,THA-RET,Roi Et,TH,Thailand,Provincial capital,365113,4,"250,000 to 499,999",0,1,UN_Data_2010_2020
11359041.0972043,1781341.46316787,1242,2233,Chaiyaphum,THA-CHY,Chaiyaphum,TH,Thailand,Provincial capital,205112,5,"100,000 to 249,999",0,1,UN_Data_2010_2020
11478375.4807113,1688738.93423401,1243,2234,Buriram,THA-BRR,Buriram,TH,Thailand,Provincial capital,8305218,1,"5,000,000 and greater",0,1,UN_Data_2010_2020
11365943.028152,1685627.53743401,1244,2235,Nakhon Ratchasima,THA-NRT,Nakhon Ratchasima,TH,Thailand,Provincial capital,653075,3,"500,000 to 999,999",0,1,UN_Data_2010_2020
11521233.7112422,1676065.54895307,1245,2236,Surin,THA-SUR,Surin,TH,Thailand,Provincial capital,153159,5,"100,000 to 249,999",0,1,UN_Data_2010_2020
11684839.9771166,1553195.47253065,1246,2237,Phnum Tbeng Meanchey,KHM-PVI,Preah Vihear,CB,Cambodia,Provincial capital,0,0, ,0,0, 
11796971.8635575,1519548.13270372,1247,2238,Stoeng Treng,KHM-STR,Stoeng Treng,CB,Cambodia,Provincial capital,0,0, ,0,1, 
11676189.7851771,1426847.43844751,1248,2239,Kampong Thum,KHM-KTH,Kampong Thum,CB,Cambodia,Provincial capital,0,0, ,0,1, 
11802537.2921479,1399130.26185299,1249,2240,Kracheh,KHM-KRC,Kracheh,CB,Cambodia,Provincial capital,0,0, ,0,1, 
11651142.8972423,1374970.83343445,1250,2241,Kampong Chnang,KHM-KCN,Kampong Chhnang,CB,Cambodia,Provincial capital,0,0, ,0,0, 
11740309.8079743,1344683.82678539,1251,2242,Kampong Cham,KHM-KCH,Kampong Cham,CB,Cambodia,Provincial capital,0,0, ,0,1, 
11678882.8141238,1296212.38837126,1252,2243,Phnom Penh,KHM-PPE,Phnum Penh,CB,Cambodia,National and provincial capital,1958000,2,"1,000,000 to 4,999,999",0,0,UN_Habitat_2020
11724614.420641,1287039.6222921,1253,2244,Prey Veng,KHM-PVE,Prey Veng,CB,Cambodia,Provincial capital,0,0, ,0,1, 
11635001.6713947,1283404.39281006,1254,2245,Kampong Spoe,KHM-KSP,Kampong Spoe,CB,Cambodia,Provincial capital,0,0, ,0,1, 
11816229.9246842,1268756.14858447,1255,2246,Tay Ninh,VNM-TNI,Tay Ninh,VM,Vietnam,Provincial capital,0,0, ,0,1, 
11506728.5591062,2194215.6875511,1256,2247,Xiangkhoang,LAO-XNG,Xiangkhoang,LA,Laos,Provincial capital,0,0, ,0,1, 
11297147.2458433,2177907.74018096,1257,2248,Muang Xaignabouri,LAO-XGN,Xaignabouri,LA,Laos,Provincial capital,0,0, ,0,0, 
11430311.5209054,2037751.85839052,1258,2249,Vientiane,LAO-VNG,Viangchan,LA,Laos,National and provincial capital,1246000,2,"1,000,000 to 4,999,999",0,1,UN_Habitat_2020
11437743.4216166,2023975.28849728,1259,2250,Nong Khai,THA-NKH,Nong Khai,TH,Thailand,Provincial capital,232798,5,"100,000 to 249,999",0,1,UN_Data_2010_2020
11325088.5471822,1977938.96280213,1260,2251,Loei,THA-LOE,Loei,TH,Thailand,Provincial capital,164180,5,"100,000 to 249,999",0,1,UN_Data_2010_2020
11442530.3920657,1968254.03293741,1261,2252,Udon Thani,THA-UTA,Udon Thani,TH,Thailand,Provincial capital,483057,4,"250,000 to 499,999",0,1,UN_Data_2010_2020
11836938.683398,2326452.6172492,1262,2253,Thai Binh,VNM-TBI,Thai Binh,VM,Vietnam,Provincial capital,0,0, ,0,1, 
11712034.8738227,2489687.69828417,1263,2254,Tuyen Quang,VNM-TQN,Tuyen Quang,VM,Vietnam,Provincial capital,0,0, ,0,1, 
11674631.8557088,2476143.95045644,1264,2255,Yen Bai,VNM-YBA,Yen Bai,VM,Vietnam,Provincial capital,0,0, ,0,1, 
11784615.7333784,2457702.51929686,1265,2256,Thai Nguyen,VNM-BTH,Bac Thai,VM,Vietnam,Provincial capital,0,0, ,0,0, 
11736191.0979146,2428283.7225691,1266,2257,Viet Tri,VNM-VPH,Vinh Phu,VM,Vietnam,Provincial capital,0,0, ,0,0, 
11779828.7813509,2395456.49279386,1267,2258,Hanoi,VNM-HNO,Ha Noi,VM,Vietnam,National capital and provincial capital enclave,4201000,2,"1,000,000 to 4,999,999",0,0,UN_Habitat_2020
11725616.2954215,2371618.93795288,1268,2259,Hoa Binh,VNM-HBN,Hoa Binh,VM,Vietnam,Provincial capital,0,0, ,0,1, 
11797083.074495,2303026.10822899,1269,2260,Ninh Binh,VNM-NBN,Ninh Binh,VM,Vietnam,Provincial capital,0,0, ,0,1, 
11775041.8109018,2250418.01992836,1270,2261,Thanh Hoa,VNM-THO,Thanh Hoa,VM,Vietnam,Provincial capital,0,0, ,0,1, 
11884135.0247284,2493045.35014685,1271,2262,Lang Son,VNM-LSO,Lang Son,VM,Vietnam,Provincial capital,0,0, ,0,1, 
11821239.2985869,2424221.44680706,1272,2263,Phu Lang Thuong,VNM-HBA,Ha Bac,VM,Vietnam,Provincial capital,0,0, ,0,0, 
11836713.2588092,2384964.16992879,1273,2264,Hai Duong,VNM-HHU,Hai Hung,VM,Vietnam,Provincial capital,0,0, ,0,0, 
11875539.9500864,2375353.95885918,1274,2265,Haiphong,VNM-HPH,Hai Phong,VM,Vietnam,Other,1280000,2,"1,000,000 to 4,999,999",57680,0,UN_Habitat_2020
11926024.4471729,1903370.89511742,1275,2266,Dong Ha,VNM-QTR,Quang Tri,VM,Vietnam,Provincial capital,0,0, ,0,0, 
11976307.5598019,1858403.32481083,1276,2267,Hue,VNM-TTH,Thua Thien Hue,VM,Vietnam,Provincial capital,0,0, ,0,0, 
